,dataset1,architecture1,seed1,step1,layer1,dataset2,architecture2,seed2,step2,layer2,PWCCA,mean_sq_cca_corr,mean_cca_corr,CKA,Procrustes,PredDist_0,PredDist_1e-07,PredDist_1e-06,PredDist_1e-05,PredDist_0.0001,PredDist_0.001,PredDist_0.01,PredDist_0.1,PredDist_1,PredDist_10.0,PredDist_100.0,PredDist_1000.0,QNLI_diff,SST-2_diff
6979,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,8,0.2539097198755788,0.5296422930106586,0.3846507314832993,0.2785230651303203,0.4977185632635437,813.5284878955711,810.8607114815111,800.4221569769018,718.7916673757557,429.9317099004825,113.9942439138426,10.091575036879796,0.3478208083340842,0.0051080210672434,5.37612912448132e-05,5.404688940223691e-07,5.407563567808127e-09,0.10592470559521638,0.220565749235474
6980,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,9,0.2785858835209011,0.556262488595586,0.4055008424987806,0.3139119249208889,0.547781202210819,854.4168015821622,851.7669068994062,841.2694614452588,758.9160693712956,461.6356585355312,124.5341799949019,11.182311443397415,0.3907270362052555,0.0058997814485952,6.245935952667339e-05,6.283149390379859e-07,6.286898702677781e-09,0.14973457807065738,0.2607033639143732
6981,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,10,0.2978881865245821,0.5758266001329324,0.4205709337233067,0.3510868801374052,0.5925280687185286,884.4696145796345,881.8210448476236,871.3383262528242,788.9307011434603,486.6948782648036,133.1804580817069,12.238306959111668,0.4339605016916302,0.0065056950344642,6.873438862798484e-05,6.912812881235585e-07,6.916778141036291e-09,0.18725974739154327,0.2530581039755352
6982,mnli_matched_100,base,9,2000000,1,mnli_matched_100,base,9,2000000,11,0.3105662414764547,0.5880004067142353,0.4299323067451871,0.3357203938621498,0.6030398934348702,903.1663234996688,900.562433329954,890.0565173971913,807.337385897374,501.0429435359071,137.5838399443299,12.576368938208017,0.4184346989775369,0.0060531298965855,6.361840781990232e-05,6.394762966308614e-07,6.398077090754649e-09,0.18866312770760885,0.2813455657492355
6983,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,2,3.726225783484694e-07,8.954696594343226e-06,4.4851927283318105e-06,0.0,0.0,0.0166832222325865,-2.7284841053187847e-12,9.094947017729282e-13,4.547473508864641e-13,3.410605131648481e-13,5.684341886080803e-14,-7.105427357601002e-15,-1.3322676295501878e-15,-2.775557561562892e-17,-2.981555974335137e-19,-2.9646153153900508e-21,-3.308722450212111e-23,0.0,0.0
6984,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,3,0.0505710617947134,0.1793693718804797,0.1074165938517838,0.0242309215685395,0.0686303334062683,275.5085540355942,273.0502685830577,267.39152779635924,223.5893178366712,98.3038477996281,18.722264259149256,1.377434204716991,0.0363224942720969,0.0005045073516764,5.310915367504792e-06,5.3400245893159116e-08,5.342963328114427e-10,0.0070779181158093785,0.05657492354740057
6985,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,4,0.0915658061124087,0.2780892079627303,0.1788160519970953,0.0704111911514416,0.1401306752236737,427.1427950436939,424.5411094692329,416.9053925555486,356.6121103673495,170.21994309359525,35.38626069918527,2.8268668146178517,0.0950265694284475,0.00146253498637,1.560409026310207e-05,1.57113952114274e-07,1.5722229670086826e-09,0.012142290560742008,0.04166666666666663
6986,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,5,0.1297515155793125,0.3513721005333733,0.2373514919569473,0.1167493457361702,0.2113757821214672,539.709725021893,537.0915866896179,528.6819559480901,461.14063517154045,236.10407325210213,52.26994399237898,4.234035192091394,0.1475596546448061,0.0022275121231534,2.3554300006709293e-05,2.3691317340410146e-07,2.370511668764849e-09,0.06955885044847154,0.12729357798165142
6987,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,6,0.1667343072341702,0.4122405209570906,0.2874363548514997,0.1652583050573277,0.2864095146295207,633.2007683602587,630.5976478585608,621.9456186692587,551.5575107458242,300.6752158616499,69.87850026499706,5.677972411051236,0.1981814568093778,0.0030425456912316,3.2307043596175715e-05,3.25100673060776e-07,3.253053035212946e-09,0.07004698273232046,0.18807339449541283
6988,mnli_matched_100,base,9,2000000,2,mnli_matched_100,base,9,2000000,7,0.1989156323900669,0.4586418721424622,0.3252455843409317,0.1825273655751563,0.3454854819458426,704.4711864026146,701.9155434241552,693.1211341027376,621.0128772137074,352.1784973648407,84.26743068806039,6.848663898845828,0.2301038841847489,0.003394075443493,3.578755819334082e-05,3.598531949395812e-07,3.6005236096623073e-09,0.0658978583196046,0.20795107033639149
